GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN277376_c0_g1	1.060434796	2.532423455	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	8.511336243	1.531363875	1.469830349	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277378_c0_g1	1.060434796	2.106174159	2.577378605	1.854878329	1.655951822	2.220749492	1.993143853	4.696998763	1.060434796	2.461325844	1.060434796	1.060434796	4.824393934	1.060434796	1.695418181
TRINITY_DN277393_c0_g1	8.804934619	7.264725109	7.840715128	9.690198098	9.503289178	10.8704518	9.365919255	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277394_c0_g1	3.798791672	5.649150734	5.050911635	4.962870882	5.089924783	3.630957726	2.958283586	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277395_c0_g1	5.442814726	3.128511293	5.818832964	3.988269512	3.671640229	4.799269373	4.740212298	7.212754691	7.603534972	7.015376476	7.928572395	6.539087894	6.631108325	6.449293377	6.155312331
TRINITY_DN277398_c0_g1	10.86882062	9.136953723	10.37306362	8.978617718	7.968121799	9.036096718	9.59533998	9.722949546	10.00519437	9.327825356	8.83605673	10.14607383	8.560327356	9.393453654	9.38500998
TRINITY_DN277398_c0_g2	1.060434796	1.060434796	1.060434796	1.060434796	1.655951822	1.060434796	3.273137395	1.440025908	1.88581625	1.788362656	1.628546064	2.250773536	1.060434796	1.060434796	1.060434796
TRINITY_DN27773_c0_g1	1.060434796	2.334983987	1.060434796	1.854878329	2.89031276	1.060434796	1.060434796	1.060434796	1.060434796	2.049128754	1.060434796	1.060434796	1.526532857	1.060434796	2.134830437
TRINITY_DN277913_c0_g1	1.060434796	1.060434796	1.060434796	3.988269512	1.060434796	1.060434796	1.060434796	3.063940185	1.060434796	1.060434796	1.060434796	1.775037812	3.724725735	1.555100532	1.060434796
TRINITY_DN277915_c0_g1	13.94752136	13.49247307	12.74957891	13.72921548	13.69792267	14.65630521	12.86840634	2.695869542	2.789883372	2.918429325	4.015773434	3.337285637	1.878251772	3.719657332	3.170637387
TRINITY_DN277916_c0_g1	1.060434796	1.498523235	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.469830349	1.060434796	1.060434796	2.396988615	1.060434796	1.060434796
TRINITY_DN277916_c0_g2	2.334412939	3.000963993	1.060434796	3.678874998	2.666429693	1.060434796	1.060434796	1.060434796	1.060434796	3.848353339	1.060434796	1.060434796	3.539774036	1.060434796	2.134830437
TRINITY_DN277933_c0_g1	7.666916712	6.290992395	6.603160826	5.675207314	2.89031276	5.673151369	5.927074192	8.967160838	8.702781869	8.191023915	7.88623892	8.792028262	8.183901387	8.918924115	8.848742731
TRINITY_DN277941_c0_g3	10.30672991	8.727479437	10.1619177	9.820544161	8.886145306	9.891750678	10.32151809	10.31492365	10.0164515	9.881180893	9.588730932	10.40696191	9.649291508	10.43276166	10.23183575
TRINITY_DN277942_c0_g2	1.060434796	1.060434796	1.060434796	1.060434796	4.897001672	1.060434796	3.750436618	1.440025908	1.060434796	1.788362656	1.060434796	1.060434796	4.941047859	1.060434796	3.639682246
